"","Site","Site.Age","Forest.Type","Canopy","variable","value"
"177",18,8,"recent fire","Lower canopy","White spruce",NA
"178",18.1,125,"BS","Lower canopy","White spruce",NA
"179",18.2,175,"D","Lower canopy","White spruce",NA
"180",19,60,"D","Lower canopy","White spruce",12.5
"181",20,14,"Early recovery","Lower canopy","White spruce",NA
"182",20.1,75,"BS","Lower canopy","White spruce",11.6
"183",20.2,63,"BS","Lower canopy","White spruce",NA
"184",20.3,73,"BS","Lower canopy","White spruce",NA
"185",21.1,73,"BS","Lower canopy","White spruce",NA
"186",21.2,106,"BS","Lower canopy","White spruce",NA
"187",22.1,60,"D","Lower canopy","White spruce",1.36
"188",22.2,70,"WS","Lower canopy","White spruce",18.33
"189",22.3,50,"D","Lower canopy","White spruce",NA
"190",23.2,83,"D","Lower canopy","White spruce",NA
"191",23.3,76,"D","Lower canopy","White spruce",14.16
"192",24.1,83,"WS","Lower canopy","White spruce",36.67
"193",24.2,142,"D","Lower canopy","White spruce",14.33
"194",24.3,134,"WS","Lower canopy","White spruce",NA
"195",25.1,75,"WS","Lower canopy","White spruce",NA
"196",25.2,94,"D","Lower canopy","White spruce",13.3
"197",25.3,140,"WS","Lower canopy","White spruce",25.3
"198",27.1,84,"BS","Lower canopy","White spruce",3.3
"199",27.2,66,"BS","Lower canopy","White spruce",NA
"200",27.3,85,"BS","Lower canopy","White spruce",NA
"201",29.1,65,"WS","Lower canopy","White spruce",NA
"202",29.2,52,"D","Lower canopy","White spruce",14.16
"203",29.3,52,"WS","Lower canopy","White spruce",9.16
"204",29.4,105,"WS","Lower canopy","White spruce",NA
"205",1,196,"D","Ground","White spruce",NA
"206",1.1,83,"BS","Ground","White spruce",NA
"207",1.2,93,"WS","Ground","White spruce",NA
"208",1.3,158,"WS","Ground","White spruce",NA
"209",2,35,"D","Ground","White spruce",NA
"210",2.1,140,"D","Ground","White spruce",NA
"211",2.2,170,"WS","Ground","White spruce",NA
"212",3,185,"D","Ground","White spruce",NA
"213",3.1,128,"D","Ground","White spruce",NA
"214",3.2,174,"D","Ground","White spruce",NA
"215",3.3,60,"D","Ground","White spruce",NA
"216",4,85,"D","Ground","White spruce",NA
"217",4.1,48,"D","Ground","White spruce",NA
"218",4.2,60,"D","Ground","White spruce",NA
"219",4.3,71,"D","Ground","White spruce",NA
"220",4.4,58,"D","Ground","White spruce",NA
"221",5,5,"recent fire","Ground","White spruce",NA
"222",5.5,85,"BS","Ground","White spruce",NA
"223",5.6,92,"BS","Ground","White spruce",NA
"224",6,52,"WS","Ground","White spruce",NA
"225",6.1,77,"D","Ground","White spruce",NA
"226",6.2,90,"D","Ground","White spruce",NA
"227",6.3,87,"D","Ground","White spruce",NA
"228",6.4,89,"D","Ground","White spruce",NA
"229",7,177,"WS","Ground","White spruce",NA
"230",7.1,85,"D","Ground","White spruce",NA
"231",7.2,80,"D","Ground","White spruce",NA
"232",7.5,102,"BS","Ground","White spruce",NA
"233",7.6,114,"BS","Ground","White spruce",NA
"234",8,19,"Early recovery","Ground","White spruce",NA
"235",9,76,"BS","Ground","White spruce",NA
"236",9.2,73,"D","Ground","White spruce",NA
"237",9.3,78,"D","Ground","White spruce",NA
"238",9.4,122,"BS","Ground","White spruce",NA
"239",9.5,67,"D","Ground","White spruce",NA
"240",9.6,114,"D","Ground","White spruce",NA
"241",10,32,"Early recovery","Ground","White spruce",NA
"242",11,199,"BS","Ground","White spruce",NA
"243",11.1,80,"D","Ground","White spruce",NA
"244",11.2,99,"D","Ground","White spruce",NA
"245",11.3,45,"D","Ground","White spruce",NA
"246",11.4,54,"D","Ground","White spruce",NA
"247",12,60,"D","Ground","White spruce",NA
"248",13,76,"D","Ground","White spruce",NA
"249",13.1,85,"D","Ground","White spruce",NA
"250",13.2,85,"D","Ground","White spruce",NA
"251",14,15,"Early recovery","Ground","White spruce",NA
"252",14.1,87,"BS","Ground","White spruce",NA
"253",14.2,134,"BS","Ground","White spruce",NA
"254",14.3,65,"BS","Ground","White spruce",NA
"255",14.4,136,"BS","Ground","White spruce",NA
"256",14.5,134,"WS","Ground","White spruce",NA
"257",14.6,81,"BS","Ground","White spruce",NA
"258",15,47,"D","Ground","White spruce",NA
"259",15.1,78,"BS","Ground","White spruce",NA
"260",15.2,83,"BS","Ground","White spruce",NA
"261",15.3,85,"BS","Ground","White spruce",NA
"262",15.4,75,"BS","Ground","White spruce",NA
"263",15.5,80,"BS","Ground","White spruce",NA
"264",15.6,83,"BS","Ground","White spruce",NA
"265",16,3,"recent fire","Ground","White spruce",NA
"266",16.1,118,"D","Ground","White spruce",NA
"267",16.2,100,"D","Ground","White spruce",NA
"268",16.3,106,"D","Ground","White spruce",NA
"269",16.4,68,"D","Ground","White spruce",NA
"270",16.5,138,"D","Ground","White spruce",NA
"271",16.6,68,"D","Ground","White spruce",NA
"272",17,16,"Early recovery","Ground","White spruce",NA
"273",17.1,176,"D","Ground","White spruce",NA
"274",17.2,69,"D","Ground","White spruce",NA
"275",17.3,118,"D","Ground","White spruce",NA
"276",17.4,136,"D","Ground","White spruce",NA
"277",17.5,148,"D","Ground","White spruce",NA
"278",17.6,72,"D","Ground","White spruce",NA
"279",18,8,"recent fire","Ground","White spruce",NA
"280",18.1,125,"BS","Ground","White spruce",NA
"281",18.2,175,"D","Ground","White spruce",NA
"282",19,60,"D","Ground","White spruce",NA
"283",20,14,"Early recovery","Ground","White spruce",NA
"284",20.1,75,"BS","Ground","White spruce",NA
"285",20.2,63,"BS","Ground","White spruce",NA
"286",20.3,73,"BS","Ground","White spruce",NA
"287",21.1,73,"BS","Ground","White spruce",NA
"288",21.2,106,"BS","Ground","White spruce",NA
"289",22.1,60,"D","Ground","White spruce",NA
"290",22.2,70,"WS","Ground","White spruce",NA
"291",22.3,50,"D","Ground","White spruce",NA
"292",23.2,83,"D","Ground","White spruce",NA
"293",23.3,76,"D","Ground","White spruce",NA
"294",24.1,83,"WS","Ground","White spruce",NA
"295",24.2,142,"D","Ground","White spruce",NA
"296",24.3,134,"WS","Ground","White spruce",NA
"297",25.1,75,"WS","Ground","White spruce",NA
"298",25.2,94,"D","Ground","White spruce",NA
"299",25.3,140,"WS","Ground","White spruce",NA
"300",27.1,84,"BS","Ground","White spruce",NA
"301",27.2,66,"BS","Ground","White spruce",NA
"302",27.3,85,"BS","Ground","White spruce",NA
"303",29.1,65,"WS","Ground","White spruce",NA
"304",29.2,52,"D","Ground","White spruce",NA
"305",29.3,52,"WS","Ground","White spruce",NA
"306",29.4,105,"WS","Ground","White spruce",NA
"307",1,196,"D","Upper canopy","Deciduous",5.62
"308",1.1,83,"BS","Upper canopy","Deciduous",NA
"309",1.2,93,"WS","Upper canopy","Deciduous",6.6
"310",1.3,158,"WS","Upper canopy","Deciduous",3.3
"311",2,35,"D","Upper canopy","Deciduous",84.6
"312",2.1,140,"D","Upper canopy","Deciduous",NA
"313",2.2,170,"WS","Upper canopy","Deciduous",6.6
"314",3,185,"D","Upper canopy","Deciduous",22.3
"315",3.1,128,"D","Upper canopy","Deciduous",2.91
"316",3.2,174,"D","Upper canopy","Deciduous",NA
"317",3.3,60,"D","Upper canopy","Deciduous",NA
"318",4,85,"D","Upper canopy","Deciduous",43.667
"319",4.1,48,"D","Upper canopy","Deciduous",43.16
"320",4.2,60,"D","Upper canopy","Deciduous",71.66
"321",4.3,71,"D","Upper canopy","Deciduous",55.83
"322",4.4,58,"D","Upper canopy","Deciduous",43.75
"323",5,5,"recent fire","Upper canopy","Deciduous",NA
"324",5.5,85,"BS","Upper canopy","Deciduous",NA
"325",5.6,92,"BS","Upper canopy","Deciduous",NA
"326",6,52,"WS","Upper canopy","Deciduous",14.97
"327",6.1,77,"D","Upper canopy","Deciduous",65.41
"328",6.2,90,"D","Upper canopy","Deciduous",71.25
"329",6.3,87,"D","Upper canopy","Deciduous",56.6
"330",6.4,89,"D","Upper canopy","Deciduous",71.66
"331",7,177,"WS","Upper canopy","Deciduous",8.88
"332",7.1,85,"D","Upper canopy","Deciduous",73.3
"333",7.2,80,"D","Upper canopy","Deciduous",48.63
"334",7.5,102,"BS","Upper canopy","Deciduous",NA
"335",7.6,114,"BS","Upper canopy","Deciduous",NA
"336",8,19,"Early recovery","Upper canopy","Deciduous",16
"337",9,76,"BS","Upper canopy","Deciduous",2.5
"338",9.2,73,"D","Upper canopy","Deciduous",26.6
"339",9.3,78,"D","Upper canopy","Deciduous",44.58
"340",9.4,122,"BS","Upper canopy","Deciduous",19.16
"341",9.5,67,"D","Upper canopy","Deciduous",25.83
"342",9.6,114,"D","Upper canopy","Deciduous",67.5
"343",10,32,"Early recovery","Upper canopy","Deciduous",NA
"344",11,199,"BS","Upper canopy","Deciduous",NA
"345",11.1,80,"D","Upper canopy","Deciduous",35.41
"346",11.2,99,"D","Upper canopy","Deciduous",45
"347",11.3,45,"D","Upper canopy","Deciduous",NA
"348",11.4,54,"D","Upper canopy","Deciduous",NA
"349",12,60,"D","Upper canopy","Deciduous",21
"350",13,76,"D","Upper canopy","Deciduous",78.16
"351",13.1,85,"D","Upper canopy","Deciduous",83.75
"352",13.2,85,"D","Upper canopy","Deciduous",86.67
"353",14,15,"Early recovery","Upper canopy","Deciduous",18
"354",14.1,87,"BS","Upper canopy","Deciduous",NA
"355",14.2,134,"BS","Upper canopy","Deciduous",2.5
"356",14.3,65,"BS","Upper canopy","Deciduous",8
"357",14.4,136,"BS","Upper canopy","Deciduous",11.6
"358",14.5,134,"WS","Upper canopy","Deciduous",14
"359",14.6,81,"BS","Upper canopy","Deciduous",14.58
