"","Site","Site.Age","Forest.Type","Canopy","variable","value"
"1015",27.2,66,"BS","Upper canopy","Herbaceous",NA
"1016",27.3,85,"BS","Upper canopy","Herbaceous",NA
"1017",29.1,65,"WS","Upper canopy","Herbaceous",NA
"1018",29.2,52,"D","Upper canopy","Herbaceous",NA
"1019",29.3,52,"WS","Upper canopy","Herbaceous",NA
"1020",29.4,105,"WS","Upper canopy","Herbaceous",NA
"1021",1,196,"D","Lower canopy","Herbaceous",NA
"1022",1.1,83,"BS","Lower canopy","Herbaceous",NA
"1023",1.2,93,"WS","Lower canopy","Herbaceous",NA
"1024",1.3,158,"WS","Lower canopy","Herbaceous",NA
"1025",2,35,"D","Lower canopy","Herbaceous",NA
"1026",2.1,140,"D","Lower canopy","Herbaceous",NA
"1027",2.2,170,"WS","Lower canopy","Herbaceous",NA
"1028",3,185,"D","Lower canopy","Herbaceous",NA
"1029",3.1,128,"D","Lower canopy","Herbaceous",NA
"1030",3.2,174,"D","Lower canopy","Herbaceous",NA
"1031",3.3,60,"D","Lower canopy","Herbaceous",NA
"1032",4,85,"D","Lower canopy","Herbaceous",NA
"1033",4.1,48,"D","Lower canopy","Herbaceous",NA
"1034",4.2,60,"D","Lower canopy","Herbaceous",NA
"1035",4.3,71,"D","Lower canopy","Herbaceous",NA
"1036",4.4,58,"D","Lower canopy","Herbaceous",NA
"1037",5,5,"recent fire","Lower canopy","Herbaceous",NA
"1038",5.5,85,"BS","Lower canopy","Herbaceous",NA
"1039",5.6,92,"BS","Lower canopy","Herbaceous",NA
"1040",6,52,"WS","Lower canopy","Herbaceous",NA
"1041",6.1,77,"D","Lower canopy","Herbaceous",NA
"1042",6.2,90,"D","Lower canopy","Herbaceous",NA
"1043",6.3,87,"D","Lower canopy","Herbaceous",NA
"1044",6.4,89,"D","Lower canopy","Herbaceous",NA
"1045",7,177,"WS","Lower canopy","Herbaceous",NA
"1046",7.1,85,"D","Lower canopy","Herbaceous",NA
"1047",7.2,80,"D","Lower canopy","Herbaceous",NA
"1048",7.5,102,"BS","Lower canopy","Herbaceous",NA
"1049",7.6,114,"BS","Lower canopy","Herbaceous",NA
"1050",8,19,"Early recovery","Lower canopy","Herbaceous",NA
"1051",9,76,"BS","Lower canopy","Herbaceous",NA
"1052",9.2,73,"D","Lower canopy","Herbaceous",NA
"1053",9.3,78,"D","Lower canopy","Herbaceous",NA
"1054",9.4,122,"BS","Lower canopy","Herbaceous",NA
"1055",9.5,67,"D","Lower canopy","Herbaceous",NA
"1056",9.6,114,"D","Lower canopy","Herbaceous",NA
"1057",10,32,"Early recovery","Lower canopy","Herbaceous",NA
"1058",11,199,"BS","Lower canopy","Herbaceous",NA
"1059",11.1,80,"D","Lower canopy","Herbaceous",NA
"1060",11.2,99,"D","Lower canopy","Herbaceous",NA
"1061",11.3,45,"D","Lower canopy","Herbaceous",NA
"1062",11.4,54,"D","Lower canopy","Herbaceous",NA
"1063",12,60,"D","Lower canopy","Herbaceous",NA
"1064",13,76,"D","Lower canopy","Herbaceous",NA
"1065",13.1,85,"D","Lower canopy","Herbaceous",NA
"1066",13.2,85,"D","Lower canopy","Herbaceous",NA
"1067",14,15,"Early recovery","Lower canopy","Herbaceous",NA
"1068",14.1,87,"BS","Lower canopy","Herbaceous",NA
"1069",14.2,134,"BS","Lower canopy","Herbaceous",NA
"1070",14.3,65,"BS","Lower canopy","Herbaceous",NA
"1071",14.4,136,"BS","Lower canopy","Herbaceous",NA
"1072",14.5,134,"WS","Lower canopy","Herbaceous",NA
"1073",14.6,81,"BS","Lower canopy","Herbaceous",NA
"1074",15,47,"D","Lower canopy","Herbaceous",NA
"1075",15.1,78,"BS","Lower canopy","Herbaceous",NA
"1076",15.2,83,"BS","Lower canopy","Herbaceous",NA
"1077",15.3,85,"BS","Lower canopy","Herbaceous",NA
"1078",15.4,75,"BS","Lower canopy","Herbaceous",NA
"1079",15.5,80,"BS","Lower canopy","Herbaceous",NA
"1080",15.6,83,"BS","Lower canopy","Herbaceous",NA
"1081",16,3,"recent fire","Lower canopy","Herbaceous",NA
"1082",16.1,118,"D","Lower canopy","Herbaceous",NA
"1083",16.2,100,"D","Lower canopy","Herbaceous",NA
"1084",16.3,106,"D","Lower canopy","Herbaceous",NA
"1085",16.4,68,"D","Lower canopy","Herbaceous",NA
"1086",16.5,138,"D","Lower canopy","Herbaceous",NA
"1087",16.6,68,"D","Lower canopy","Herbaceous",NA
"1088",17,16,"Early recovery","Lower canopy","Herbaceous",NA
"1089",17.1,176,"D","Lower canopy","Herbaceous",NA
"1090",17.2,69,"D","Lower canopy","Herbaceous",NA
"1091",17.3,118,"D","Lower canopy","Herbaceous",NA
"1092",17.4,136,"D","Lower canopy","Herbaceous",NA
"1093",17.5,148,"D","Lower canopy","Herbaceous",NA
"1094",17.6,72,"D","Lower canopy","Herbaceous",NA
"1095",18,8,"recent fire","Lower canopy","Herbaceous",NA
"1096",18.1,125,"BS","Lower canopy","Herbaceous",NA
"1097",18.2,175,"D","Lower canopy","Herbaceous",NA
"1098",19,60,"D","Lower canopy","Herbaceous",NA
"1099",20,14,"Early recovery","Lower canopy","Herbaceous",NA
"1100",20.1,75,"BS","Lower canopy","Herbaceous",NA
"1101",20.2,63,"BS","Lower canopy","Herbaceous",NA
"1102",20.3,73,"BS","Lower canopy","Herbaceous",NA
"1103",21.1,73,"BS","Lower canopy","Herbaceous",NA
"1104",21.2,106,"BS","Lower canopy","Herbaceous",NA
"1105",22.1,60,"D","Lower canopy","Herbaceous",NA
"1106",22.2,70,"WS","Lower canopy","Herbaceous",NA
"1107",22.3,50,"D","Lower canopy","Herbaceous",NA
"1108",23.2,83,"D","Lower canopy","Herbaceous",NA
"1109",23.3,76,"D","Lower canopy","Herbaceous",NA
"1110",24.1,83,"WS","Lower canopy","Herbaceous",NA
"1111",24.2,142,"D","Lower canopy","Herbaceous",NA
"1112",24.3,134,"WS","Lower canopy","Herbaceous",NA
"1113",25.1,75,"WS","Lower canopy","Herbaceous",NA
"1114",25.2,94,"D","Lower canopy","Herbaceous",NA
"1115",25.3,140,"WS","Lower canopy","Herbaceous",NA
"1116",27.1,84,"BS","Lower canopy","Herbaceous",NA
"1117",27.2,66,"BS","Lower canopy","Herbaceous",NA
"1118",27.3,85,"BS","Lower canopy","Herbaceous",NA
"1119",29.1,65,"WS","Lower canopy","Herbaceous",NA
"1120",29.2,52,"D","Lower canopy","Herbaceous",NA
"1121",29.3,52,"WS","Lower canopy","Herbaceous",NA
"1122",29.4,105,"WS","Lower canopy","Herbaceous",NA
"1123",1,196,"D","Ground","Herbaceous",32.6
"1124",1.1,83,"BS","Ground","Herbaceous",48
"1125",1.2,93,"WS","Ground","Herbaceous",62.5
"1126",1.3,158,"WS","Ground","Herbaceous",NA
"1127",2,35,"D","Ground","Herbaceous",29.48
"1128",2.1,140,"D","Ground","Herbaceous",8.75
"1129",2.2,170,"WS","Ground","Herbaceous",41.67
"1130",3,185,"D","Ground","Herbaceous",39.6
"1131",3.1,128,"D","Ground","Herbaceous",NA
"1132",3.2,174,"D","Ground","Herbaceous",45.41
"1133",3.3,60,"D","Ground","Herbaceous",37.83
"1134",4,85,"D","Ground","Herbaceous",29.16
"1135",4.1,48,"D","Ground","Herbaceous",63.75
"1136",4.2,60,"D","Ground","Herbaceous",74.58
"1137",4.3,71,"D","Ground","Herbaceous",55.41
"1138",4.4,58,"D","Ground","Herbaceous",62.83
"1139",5,5,"recent fire","Ground","Herbaceous",37.5
"1140",5.5,85,"BS","Ground","Herbaceous",NA
"1141",5.6,92,"BS","Ground","Herbaceous",25
"1142",6,52,"WS","Ground","Herbaceous",12
"1143",6.1,77,"D","Ground","Herbaceous",14.41
"1144",6.2,90,"D","Ground","Herbaceous",32.6
"1145",6.3,87,"D","Ground","Herbaceous",16
"1146",6.4,89,"D","Ground","Herbaceous",5.25
"1147",7,177,"WS","Ground","Herbaceous",22.33
"1148",7.1,85,"D","Ground","Herbaceous",7.83
"1149",7.2,80,"D","Ground","Herbaceous",NA
"1150",7.5,102,"BS","Ground","Herbaceous",29.58
"1151",7.6,114,"BS","Ground","Herbaceous",25
"1152",8,19,"Early recovery","Ground","Herbaceous",51.33
"1153",9,76,"BS","Ground","Herbaceous",36.83
"1154",9.2,73,"D","Ground","Herbaceous",17.25
"1155",9.3,78,"D","Ground","Herbaceous",56.67
"1156",9.4,122,"BS","Ground","Herbaceous",67
"1157",9.5,67,"D","Ground","Herbaceous",81.58
"1158",9.6,114,"D","Ground","Herbaceous",79.58
"1159",10,32,"Early recovery","Ground","Herbaceous",NA
"1160",11,199,"BS","Ground","Herbaceous",NA
"1161",11.1,80,"D","Ground","Herbaceous",NA
"1162",11.2,99,"D","Ground","Herbaceous",59.58
"1163",11.3,45,"D","Ground","Herbaceous",86.16
"1164",11.4,54,"D","Ground","Herbaceous",66.25
"1165",12,60,"D","Ground","Herbaceous",36
"1166",13,76,"D","Ground","Herbaceous",14.33
"1167",13.1,85,"D","Ground","Herbaceous",48.67
"1168",13.2,85,"D","Ground","Herbaceous",65.83
"1169",14,15,"Early recovery","Ground","Herbaceous",73.8
"1170",14.1,87,"BS","Ground","Herbaceous",35.583
"1171",14.2,134,"BS","Ground","Herbaceous",28.5
"1172",14.3,65,"BS","Ground","Herbaceous",43.58
"1173",14.4,136,"BS","Ground","Herbaceous",37.41
"1174",14.5,134,"WS","Ground","Herbaceous",33.33
"1175",14.6,81,"BS","Ground","Herbaceous",29.5
"1176",15,47,"D","Ground","Herbaceous",62.26
"1177",15.1,78,"BS","Ground","Herbaceous",46.6
"1178",15.2,83,"BS","Ground","Herbaceous",35.83
"1179",15.3,85,"BS","Ground","Herbaceous",56.83
"1180",15.4,75,"BS","Ground","Herbaceous",NA
"1181",15.5,80,"BS","Ground","Herbaceous",NA
"1182",15.6,83,"BS","Ground","Herbaceous",NA
"1183",16,3,"recent fire","Ground","Herbaceous",34.56
"1184",16.1,118,"D","Ground","Herbaceous",79.58
"1185",16.2,100,"D","Ground","Herbaceous",88.41
"1186",16.3,106,"D","Ground","Herbaceous",65.58
"1187",16.4,68,"D","Ground","Herbaceous",77.5
"1188",16.5,138,"D","Ground","Herbaceous",87
"1189",16.6,68,"D","Ground","Herbaceous",77.91
"1190",17,16,"Early recovery","Ground","Herbaceous",58.7
"1191",17.1,176,"D","Ground","Herbaceous",69.41
"1192",17.2,69,"D","Ground","Herbaceous",NA
"1193",17.3,118,"D","Ground","Herbaceous",51.6
"1194",17.4,136,"D","Ground","Herbaceous",NA
"1195",17.5,148,"D","Ground","Herbaceous",75.5
"1196",17.6,72,"D","Ground","Herbaceous",74.5
"1197",18,8,"recent fire","Ground","Herbaceous",46
"1198",18.1,125,"BS","Ground","Herbaceous",NA
"1199",18.2,175,"D","Ground","Herbaceous",59.16
"1200",19,60,"D","Ground","Herbaceous",57.6
"1201",20,14,"Early recovery","Ground","Herbaceous",16.36
"1202",20.1,75,"BS","Ground","Herbaceous",49.16
"1203",20.2,63,"BS","Ground","Herbaceous",46.67
"1204",20.3,73,"BS","Ground","Herbaceous",44.83
"1205",21.1,73,"BS","Ground","Herbaceous",44
"1206",21.2,106,"BS","Ground","Herbaceous",47.5
"1207",22.1,60,"D","Ground","Herbaceous",16.67
"1208",22.2,70,"WS","Ground","Herbaceous",35
"1209",22.3,50,"D","Ground","Herbaceous",64.6
"1210",23.2,83,"D","Ground","Herbaceous",39.16
"1211",23.3,76,"D","Ground","Herbaceous",63.16
"1212",24.1,83,"WS","Ground","Herbaceous",7.5
"1213",24.2,142,"D","Ground","Herbaceous",11.6
"1214",24.3,134,"WS","Ground","Herbaceous",29.3
"1215",25.1,75,"WS","Ground","Herbaceous",43.3
"1216",25.2,94,"D","Ground","Herbaceous",44
"1217",25.3,140,"WS","Ground","Herbaceous",28.33
"1218",27.1,84,"BS","Ground","Herbaceous",14.16
"1219",27.2,66,"BS","Ground","Herbaceous",3.16
"1220",27.3,85,"BS","Ground","Herbaceous",4.5
"1221",29.1,65,"WS","Ground","Herbaceous",88.33
"1222",29.2,52,"D","Ground","Herbaceous",64
"1223",29.3,52,"WS","Ground","Herbaceous",24.16
"1224",29.4,105,"WS","Ground","Herbaceous",39.3
"1225",1,196,"D","Upper canopy","Moss",NA
"1226",1.1,83,"BS","Upper canopy","Moss",NA
"1227",1.2,93,"WS","Upper canopy","Moss",NA
"1228",1.3,158,"WS","Upper canopy","Moss",NA
"1229",2,35,"D","Upper canopy","Moss",NA
"1230",2.1,140,"D","Upper canopy","Moss",NA
"1231",2.2,170,"WS","Upper canopy","Moss",NA
"1232",3,185,"D","Upper canopy","Moss",NA
"1233",3.1,128,"D","Upper canopy","Moss",NA
"1234",3.2,174,"D","Upper canopy","Moss",NA
"1235",3.3,60,"D","Upper canopy","Moss",NA
"1236",4,85,"D","Upper canopy","Moss",NA
"1237",4.1,48,"D","Upper canopy","Moss",NA
"1238",4.2,60,"D","Upper canopy","Moss",NA
"1239",4.3,71,"D","Upper canopy","Moss",NA
"1240",4.4,58,"D","Upper canopy","Moss",NA
"1241",5,5,"recent fire","Upper canopy","Moss",NA
"1242",5.5,85,"BS","Upper canopy","Moss",NA
"1243",5.6,92,"BS","Upper canopy","Moss",NA
"1244",6,52,"WS","Upper canopy","Moss",NA
"1245",6.1,77,"D","Upper canopy","Moss",NA
"1246",6.2,90,"D","Upper canopy","Moss",NA
"1247",6.3,87,"D","Upper canopy","Moss",NA
"1248",6.4,89,"D","Upper canopy","Moss",NA
"1249",7,177,"WS","Upper canopy","Moss",NA
"1250",7.1,85,"D","Upper canopy","Moss",NA
"1251",7.2,80,"D","Upper canopy","Moss",NA
"1252",7.5,102,"BS","Upper canopy","Moss",NA
"1253",7.6,114,"BS","Upper canopy","Moss",NA
"1254",8,19,"Early recovery","Upper canopy","Moss",NA
"1255",9,76,"BS","Upper canopy","Moss",NA
"1256",9.2,73,"D","Upper canopy","Moss",NA
"1257",9.3,78,"D","Upper canopy","Moss",NA
"1258",9.4,122,"BS","Upper canopy","Moss",NA
"1259",9.5,67,"D","Upper canopy","Moss",NA
"1260",9.6,114,"D","Upper canopy","Moss",NA
"1261",10,32,"Early recovery","Upper canopy","Moss",NA
"1262",11,199,"BS","Upper canopy","Moss",NA
"1263",11.1,80,"D","Upper canopy","Moss",NA
"1264",11.2,99,"D","Upper canopy","Moss",NA
"1265",11.3,45,"D","Upper canopy","Moss",NA
"1266",11.4,54,"D","Upper canopy","Moss",NA
"1267",12,60,"D","Upper canopy","Moss",NA
"1268",13,76,"D","Upper canopy","Moss",NA
"1269",13.1,85,"D","Upper canopy","Moss",NA
"1270",13.2,85,"D","Upper canopy","Moss",NA
"1271",14,15,"Early recovery","Upper canopy","Moss",NA
"1272",14.1,87,"BS","Upper canopy","Moss",NA
"1273",14.2,134,"BS","Upper canopy","Moss",NA
"1274",14.3,65,"BS","Upper canopy","Moss",NA
"1275",14.4,136,"BS","Upper canopy","Moss",NA
"1276",14.5,134,"WS","Upper canopy","Moss",NA
"1277",14.6,81,"BS","Upper canopy","Moss",NA
"1278",15,47,"D","Upper canopy","Moss",NA
"1279",15.1,78,"BS","Upper canopy","Moss",NA
"1280",15.2,83,"BS","Upper canopy","Moss",NA
"1281",15.3,85,"BS","Upper canopy","Moss",NA
"1282",15.4,75,"BS","Upper canopy","Moss",NA
"1283",15.5,80,"BS","Upper canopy","Moss",NA
"1284",15.6,83,"BS","Upper canopy","Moss",NA
"1285",16,3,"recent fire","Upper canopy","Moss",NA
"1286",16.1,118,"D","Upper canopy","Moss",NA
"1287",16.2,100,"D","Upper canopy","Moss",NA
"1288",16.3,106,"D","Upper canopy","Moss",NA
"1289",16.4,68,"D","Upper canopy","Moss",NA
"1290",16.5,138,"D","Upper canopy","Moss",NA
"1291",16.6,68,"D","Upper canopy","Moss",NA
"1292",17,16,"Early recovery","Upper canopy","Moss",NA
"1293",17.1,176,"D","Upper canopy","Moss",NA
"1294",17.2,69,"D","Upper canopy","Moss",NA
"1295",17.3,118,"D","Upper canopy","Moss",NA
"1296",17.4,136,"D","Upper canopy","Moss",NA
"1297",17.5,148,"D","Upper canopy","Moss",NA
"1298",17.6,72,"D","Upper canopy","Moss",NA
"1299",18,8,"recent fire","Upper canopy","Moss",NA
"1300",18.1,125,"BS","Upper canopy","Moss",NA
"1301",18.2,175,"D","Upper canopy","Moss",NA
"1302",19,60,"D","Upper canopy","Moss",NA
"1303",20,14,"Early recovery","Upper canopy","Moss",NA
"1304",20.1,75,"BS","Upper canopy","Moss",NA
"1305",20.2,63,"BS","Upper canopy","Moss",NA
"1306",20.3,73,"BS","Upper canopy","Moss",NA
"1307",21.1,73,"BS","Upper canopy","Moss",NA
"1308",21.2,106,"BS","Upper canopy","Moss",NA
"1309",22.1,60,"D","Upper canopy","Moss",NA
"1310",22.2,70,"WS","Upper canopy","Moss",NA
"1311",22.3,50,"D","Upper canopy","Moss",NA
"1312",23.2,83,"D","Upper canopy","Moss",NA
"1313",23.3,76,"D","Upper canopy","Moss",NA
"1314",24.1,83,"WS","Upper canopy","Moss",NA
"1315",24.2,142,"D","Upper canopy","Moss",NA
"1316",24.3,134,"WS","Upper canopy","Moss",NA
"1317",25.1,75,"WS","Upper canopy","Moss",NA
"1318",25.2,94,"D","Upper canopy","Moss",NA
"1319",25.3,140,"WS","Upper canopy","Moss",NA
"1320",27.1,84,"BS","Upper canopy","Moss",NA
"1321",27.2,66,"BS","Upper canopy","Moss",NA
"1322",27.3,85,"BS","Upper canopy","Moss",NA
"1323",29.1,65,"WS","Upper canopy","Moss",NA
"1324",29.2,52,"D","Upper canopy","Moss",NA
"1325",29.3,52,"WS","Upper canopy","Moss",NA
"1326",29.4,105,"WS","Upper canopy","Moss",NA
"1327",1,196,"D","Lower canopy","Moss",NA
"1328",1.1,83,"BS","Lower canopy","Moss",NA
"1329",1.2,93,"WS","Lower canopy","Moss",NA
"1330",1.3,158,"WS","Lower canopy","Moss",NA
"1331",2,35,"D","Lower canopy","Moss",NA
"1332",2.1,140,"D","Lower canopy","Moss",NA
"1333",2.2,170,"WS","Lower canopy","Moss",NA
"1334",3,185,"D","Lower canopy","Moss",NA
"1335",3.1,128,"D","Lower canopy","Moss",NA
"1336",3.2,174,"D","Lower canopy","Moss",NA
"1337",3.3,60,"D","Lower canopy","Moss",NA
"1338",4,85,"D","Lower canopy","Moss",NA
"1339",4.1,48,"D","Lower canopy","Moss",NA
"1340",4.2,60,"D","Lower canopy","Moss",NA
"1341",4.3,71,"D","Lower canopy","Moss",NA
"1342",4.4,58,"D","Lower canopy","Moss",NA
"1343",5,5,"recent fire","Lower canopy","Moss",NA
"1344",5.5,85,"BS","Lower canopy","Moss",NA
"1345",5.6,92,"BS","Lower canopy","Moss",NA
"1346",6,52,"WS","Lower canopy","Moss",NA
"1347",6.1,77,"D","Lower canopy","Moss",NA
"1348",6.2,90,"D","Lower canopy","Moss",NA
"1349",6.3,87,"D","Lower canopy","Moss",NA
"1350",6.4,89,"D","Lower canopy","Moss",NA
"1351",7,177,"WS","Lower canopy","Moss",NA
"1352",7.1,85,"D","Lower canopy","Moss",NA
"1353",7.2,80,"D","Lower canopy","Moss",NA
"1354",7.5,102,"BS","Lower canopy","Moss",NA
"1355",7.6,114,"BS","Lower canopy","Moss",NA
"1356",8,19,"Early recovery","Lower canopy","Moss",NA
"1357",9,76,"BS","Lower canopy","Moss",NA
"1358",9.2,73,"D","Lower canopy","Moss",NA
"1359",9.3,78,"D","Lower canopy","Moss",NA
"1360",9.4,122,"BS","Lower canopy","Moss",NA
"1361",9.5,67,"D","Lower canopy","Moss",NA
"1362",9.6,114,"D","Lower canopy","Moss",NA
"1363",10,32,"Early recovery","Lower canopy","Moss",NA
"1364",11,199,"BS","Lower canopy","Moss",NA
"1365",11.1,80,"D","Lower canopy","Moss",NA
"1366",11.2,99,"D","Lower canopy","Moss",NA
"1367",11.3,45,"D","Lower canopy","Moss",NA
"1368",11.4,54,"D","Lower canopy","Moss",NA
"1369",12,60,"D","Lower canopy","Moss",NA
"1370",13,76,"D","Lower canopy","Moss",NA
"1371",13.1,85,"D","Lower canopy","Moss",NA
"1372",13.2,85,"D","Lower canopy","Moss",NA
"1373",14,15,"Early recovery","Lower canopy","Moss",NA
"1374",14.1,87,"BS","Lower canopy","Moss",NA
"1375",14.2,134,"BS","Lower canopy","Moss",NA
"1376",14.3,65,"BS","Lower canopy","Moss",NA
"1377",14.4,136,"BS","Lower canopy","Moss",NA
"1378",14.5,134,"WS","Lower canopy","Moss",NA
"1379",14.6,81,"BS","Lower canopy","Moss",NA
"1380",15,47,"D","Lower canopy","Moss",NA
"1381",15.1,78,"BS","Lower canopy","Moss",NA
"1382",15.2,83,"BS","Lower canopy","Moss",NA
"1383",15.3,85,"BS","Lower canopy","Moss",NA
"1384",15.4,75,"BS","Lower canopy","Moss",NA
"1385",15.5,80,"BS","Lower canopy","Moss",NA
"1386",15.6,83,"BS","Lower canopy","Moss",NA
"1387",16,3,"recent fire","Lower canopy","Moss",NA
"1388",16.1,118,"D","Lower canopy","Moss",NA
"1389",16.2,100,"D","Lower canopy","Moss",NA
"1390",16.3,106,"D","Lower canopy","Moss",NA
"1391",16.4,68,"D","Lower canopy","Moss",NA
"1392",16.5,138,"D","Lower canopy","Moss",NA
"1393",16.6,68,"D","Lower canopy","Moss",NA
"1394",17,16,"Early recovery","Lower canopy","Moss",NA
"1395",17.1,176,"D","Lower canopy","Moss",NA
"1396",17.2,69,"D","Lower canopy","Moss",NA
"1397",17.3,118,"D","Lower canopy","Moss",NA
"1398",17.4,136,"D","Lower canopy","Moss",NA
"1399",17.5,148,"D","Lower canopy","Moss",NA
"1400",17.6,72,"D","Lower canopy","Moss",NA
"1401",18,8,"recent fire","Lower canopy","Moss",NA
"1402",18.1,125,"BS","Lower canopy","Moss",NA
"1403",18.2,175,"D","Lower canopy","Moss",NA
"1404",19,60,"D","Lower canopy","Moss",NA
"1405",20,14,"Early recovery","Lower canopy","Moss",NA
"1406",20.1,75,"BS","Lower canopy","Moss",NA
"1407",20.2,63,"BS","Lower canopy","Moss",NA
"1408",20.3,73,"BS","Lower canopy","Moss",NA
"1409",21.1,73,"BS","Lower canopy","Moss",NA
"1410",21.2,106,"BS","Lower canopy","Moss",NA
"1411",22.1,60,"D","Lower canopy","Moss",NA
"1412",22.2,70,"WS","Lower canopy","Moss",NA
"1413",22.3,50,"D","Lower canopy","Moss",NA
"1414",23.2,83,"D","Lower canopy","Moss",NA
"1415",23.3,76,"D","Lower canopy","Moss",NA
"1416",24.1,83,"WS","Lower canopy","Moss",NA
"1417",24.2,142,"D","Lower canopy","Moss",NA
"1418",24.3,134,"WS","Lower canopy","Moss",NA
"1419",25.1,75,"WS","Lower canopy","Moss",NA
"1420",25.2,94,"D","Lower canopy","Moss",NA
"1421",25.3,140,"WS","Lower canopy","Moss",NA
"1422",27.1,84,"BS","Lower canopy","Moss",NA
"1423",27.2,66,"BS","Lower canopy","Moss",NA
"1424",27.3,85,"BS","Lower canopy","Moss",NA
"1425",29.1,65,"WS","Lower canopy","Moss",NA
"1426",29.2,52,"D","Lower canopy","Moss",NA
"1427",29.3,52,"WS","Lower canopy","Moss",NA
"1428",29.4,105,"WS","Lower canopy","Moss",NA
"1429",1,196,"D","Ground","Moss",47
"1430",1.1,83,"BS","Ground","Moss",36.67
"1431",1.2,93,"WS","Ground","Moss",26.67
"1432",1.3,158,"WS","Ground","Moss",25.83
"1433",2,35,"D","Ground","Moss",4.3
"1434",2.1,140,"D","Ground","Moss",72.5
"1435",2.2,170,"WS","Ground","Moss",48.3
"1436",3,185,"D","Ground","Moss",22.66
"1437",3.1,128,"D","Ground","Moss",28.3
"1438",3.2,174,"D","Ground","Moss",35.41
"1439",3.3,60,"D","Ground","Moss",41.67
"1440",4,85,"D","Ground","Moss",19.66
"1441",4.1,48,"D","Ground","Moss",28.75
"1442",4.2,60,"D","Ground","Moss",3.3
"1443",4.3,71,"D","Ground","Moss",9.58
"1444",4.4,58,"D","Ground","Moss",17.6
"1445",5,5,"recent fire","Ground","Moss",24.83
"1446",5.5,85,"BS","Ground","Moss",47.91
"1447",5.6,92,"BS","Ground","Moss",NA
"1448",6,52,"WS","Ground","Moss",66.83
"1449",6.1,77,"D","Ground","Moss",8.9
"1450",6.2,90,"D","Ground","Moss",3.6
"1451",6.3,87,"D","Ground","Moss",11.91
"1452",6.4,89,"D","Ground","Moss",5.25
"1453",7,177,"WS","Ground","Moss",42.16
"1454",7.1,85,"D","Ground","Moss",7.41
"1455",7.2,80,"D","Ground","Moss",41
"1456",7.5,102,"BS","Ground","Moss",54.5
"1457",7.6,114,"BS","Ground","Moss",62.5
"1458",8,19,"Early recovery","Ground","Moss",1.16
"1459",9,76,"BS","Ground","Moss",48
"1460",9.2,73,"D","Ground","Moss",56.91
"1461",9.3,78,"D","Ground","Moss",NA
"1462",9.4,122,"BS","Ground","Moss",NA
"1463",9.5,67,"D","Ground","Moss",2.16
"1464",9.6,114,"D","Ground","Moss",NA
"1465",10,32,"Early recovery","Ground","Moss",5
"1466",11,199,"BS","Ground","Moss",37.33
"1467",11.1,80,"D","Ground","Moss",NA
"1468",11.2,99,"D","Ground","Moss",9.41
"1469",11.3,45,"D","Ground","Moss",NA
"1470",11.4,54,"D","Ground","Moss",NA
"1471",12,60,"D","Ground","Moss",37.83
"1472",13,76,"D","Ground","Moss",NA
"1473",13.1,85,"D","Ground","Moss",1.91
"1474",13.2,85,"D","Ground","Moss",NA
"1475",14,15,"Early recovery","Ground","Moss",6.33
"1476",14.1,87,"BS","Ground","Moss",63.3
"1477",14.2,134,"BS","Ground","Moss",NA
"1478",14.3,65,"BS","Ground","Moss",45.83
"1479",14.4,136,"BS","Ground","Moss",NA
"1480",14.5,134,"WS","Ground","Moss",48.58
"1481",14.6,81,"BS","Ground","Moss",63.6
"1482",15,47,"D","Ground","Moss",18.63
"1483",15.1,78,"BS","Ground","Moss",41.9
"1484",15.2,83,"BS","Ground","Moss",61.83
"1485",15.3,85,"BS","Ground","Moss",12.75
"1486",15.4,75,"BS","Ground","Moss",67.4
"1487",15.5,80,"BS","Ground","Moss",NA
"1488",15.6,83,"BS","Ground","Moss",71.6
"1489",16,3,"recent fire","Ground","Moss",15
"1490",16.1,118,"D","Ground","Moss",9.16
"1491",16.2,100,"D","Ground","Moss",1.3
"1492",16.3,106,"D","Ground","Moss",5.5
"1493",16.4,68,"D","Ground","Moss",12.91
"1494",16.5,138,"D","Ground","Moss",NA
"1495",16.6,68,"D","Ground","Moss",19.58
"1496",17,16,"Early recovery","Ground","Moss",NA
"1497",17.1,176,"D","Ground","Moss",NA
"1498",17.2,69,"D","Ground","Moss",24.6
"1499",17.3,118,"D","Ground","Moss",8.5
"1500",17.4,136,"D","Ground","Moss",6.6
"1501",17.5,148,"D","Ground","Moss",4.5
"1502",17.6,72,"D","Ground","Moss",1
"1503",18,8,"recent fire","Ground","Moss",34
"1504",18.1,125,"BS","Ground","Moss",29.25
"1505",18.2,175,"D","Ground","Moss",NA
"1506",19,60,"D","Ground","Moss",NA
"1507",20,14,"Early recovery","Ground","Moss",35
"1508",20.1,75,"BS","Ground","Moss",47.5
"1509",20.2,63,"BS","Ground","Moss",47.83
"1510",20.3,73,"BS","Ground","Moss",45
"1511",21.1,73,"BS","Ground","Moss",48.3
"1512",21.2,106,"BS","Ground","Moss",NA
"1513",22.1,60,"D","Ground","Moss",NA
"1514",22.2,70,"WS","Ground","Moss",54.83
"1515",22.3,50,"D","Ground","Moss",1.3
"1516",23.2,83,"D","Ground","Moss",48.83
"1517",23.3,76,"D","Ground","Moss",NA
"1518",24.1,83,"WS","Ground","Moss",74.1
"1519",24.2,142,"D","Ground","Moss",NA
